strain	strain_name	virus	date	country	source	sequence_locus	subtype	type
LC331070	HCoV_OC43/Yamagata.JPN/02.15_0083	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506755	HCoV_OC43/Yamagata.JPN/02.2009_0058	2009-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506756	HCoV_OC43/Yamagata.JPN/02.2009_0063	2009-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506845	HCoV_OC43/Yamagata.JPN/02.2015_0077	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331071	HCoV_OC43/Yamagata.JPN/03.15_0087	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506757	HCoV_OC43/Yamagata.JPN/03.2009_0118	2009-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506767	HCoV_OC43/Yamagata.JPN/03.2010_0241	2010-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506824	HCoV_OC43/Yamagata.JPN/03.2014_0174	2014-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506846	HCoV_OC43/Yamagata.JPN/03.2015_0086	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506847	HCoV_OC43/Yamagata.JPN/03.2015_0088	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506848	HCoV_OC43/Yamagata.JPN/03.2015_0093	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506849	HCoV_OC43/Yamagata.JPN/03.2015_0101	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506850	HCoV_OC43/Yamagata.JPN/03.2015_0128	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506851	HCoV_OC43/Yamagata.JPN/03.2015_0129	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506852	HCoV_OC43/Yamagata.JPN/03.2015_0130	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506853	HCoV_OC43/Yamagata.JPN/03.2015_0131	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506854	HCoV_OC43/Yamagata.JPN/03.2015_0134	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506855	HCoV_OC43/Yamagata.JPN/03.2015_0136	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331072	HCoV_OC43/Yamagata.JPN/04.15_0214	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506768	HCoV_OC43/Yamagata.JPN/04.2010_0251	2010-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506801	HCoV_OC43/Yamagata.JPN/04.2012_0168	2012-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506815	HCoV_OC43/Yamagata.JPN/04.2013_0289	2013-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506825	HCoV_OC43/Yamagata.JPN/04.2014_0225	2014-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506856	HCoV_OC43/Yamagata.JPN/04.2015_0137	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506857	HCoV_OC43/Yamagata.JPN/04.2015_0140	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506858	HCoV_OC43/Yamagata.JPN/04.2015_0142	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506859	HCoV_OC43/Yamagata.JPN/04.2015_0144	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506860	HCoV_OC43/Yamagata.JPN/04.2015_0147	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506861	HCoV_OC43/Yamagata.JPN/04.2015_0151	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506862	HCoV_OC43/Yamagata.JPN/04.2015_0152	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506863	HCoV_OC43/Yamagata.JPN/04.2015_0154	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506864	HCoV_OC43/Yamagata.JPN/04.2015_0155	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506865	HCoV_OC43/Yamagata.JPN/04.2015_0158	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506866	HCoV_OC43/Yamagata.JPN/04.2015_0159	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506867	HCoV_OC43/Yamagata.JPN/04.2015_0209	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506868	HCoV_OC43/Yamagata.JPN/04.2015_0210	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506869	HCoV_OC43/Yamagata.JPN/04.2015_0211	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506870	HCoV_OC43/Yamagata.JPN/04.2015_0213	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331073	HCoV_OC43/Yamagata.JPN/05.15_0234	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331074	HCoV_OC43/Yamagata.JPN/05.15_0248	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506758	HCoV_OC43/Yamagata.JPN/05.2009_0292	2009-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506802	HCoV_OC43/Yamagata.JPN/05.2012_0279	2012-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506803	HCoV_OC43/Yamagata.JPN/05.2012_0283	2012-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506816	HCoV_OC43/Yamagata.JPN/05.2013_0300	2013-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506826	HCoV_OC43/Yamagata.JPN/05.2014_0285	2014-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506871	HCoV_OC43/Yamagata.JPN/05.2015_0215	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506872	HCoV_OC43/Yamagata.JPN/05.2015_0216	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506873	HCoV_OC43/Yamagata.JPN/05.2015_0218	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506874	HCoV_OC43/Yamagata.JPN/05.2015_0220	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506875	HCoV_OC43/Yamagata.JPN/05.2015_0223	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506876	HCoV_OC43/Yamagata.JPN/05.2015_0224	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506877	HCoV_OC43/Yamagata.JPN/05.2015_0225	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506878	HCoV_OC43/Yamagata.JPN/05.2015_0228	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506879	HCoV_OC43/Yamagata.JPN/05.2015_0229	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506880	HCoV_OC43/Yamagata.JPN/05.2015_0230	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506881	HCoV_OC43/Yamagata.JPN/05.2015_0232	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506882	HCoV_OC43/Yamagata.JPN/05.2015_0233	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506883	HCoV_OC43/Yamagata.JPN/05.2015_0235	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506884	HCoV_OC43/Yamagata.JPN/05.2015_0236	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506885	HCoV_OC43/Yamagata.JPN/05.2015_0275	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506886	HCoV_OC43/Yamagata.JPN/05.2015_0279	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506887	HCoV_OC43/Yamagata.JPN/05.2015_0282	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506888	HCoV_OC43/Yamagata.JPN/05.2015_0284	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506950	HCoV_OC43/Yamagata.JPN/05.2015_0285	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506889	HCoV_OC43/Yamagata.JPN/05.2015_0287	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506890	HCoV_OC43/Yamagata.JPN/05.2015_0288	2015-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506917	HCoV_OC43/Yamagata.JPN/05.2017_0193	2017-01-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506918	HCoV_OC43/Yamagata.JPN/05.2017_0247	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331075	HCoV_OC43/Yamagata.JPN/06.15_0350	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506804	HCoV_OC43/Yamagata.JPN/06.2012_0291	2012-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506805	HCoV_OC43/Yamagata.JPN/06.2012_0369	2012-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506806	HCoV_OC43/Yamagata.JPN/06.2012_0371	2012-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506817	HCoV_OC43/Yamagata.JPN/06.2013_0348	2013-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506818	HCoV_OC43/Yamagata.JPN/06.2013_0375	2013-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506819	HCoV_OC43/Yamagata.JPN/06.2013_0378	2013-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506827	HCoV_OC43/Yamagata.JPN/06.2014_0296	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506828	HCoV_OC43/Yamagata.JPN/06.2014_0297	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506829	HCoV_OC43/Yamagata.JPN/06.2014_0370	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506830	HCoV_OC43/Yamagata.JPN/06.2014_0371	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506831	HCoV_OC43/Yamagata.JPN/06.2014_0375	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506832	HCoV_OC43/Yamagata.JPN/06.2014_0378	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506891	HCoV_OC43/Yamagata.JPN/06.2015_0290	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506892	HCoV_OC43/Yamagata.JPN/06.2015_0291	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506893	HCoV_OC43/Yamagata.JPN/06.2015_0294	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506894	HCoV_OC43/Yamagata.JPN/06.2015_0297	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506895	HCoV_OC43/Yamagata.JPN/06.2015_0300	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506896	HCoV_OC43/Yamagata.JPN/06.2015_0301	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506897	HCoV_OC43/Yamagata.JPN/06.2015_0303	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506898	HCoV_OC43/Yamagata.JPN/06.2015_0351	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506900	HCoV_OC43/Yamagata.JPN/06.2015_0359	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506919	HCoV_OC43/Yamagata.JPN/06.2017_0266	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506920	HCoV_OC43/Yamagata.JPN/06.2017_0300	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506759	HCoV_OC43/Yamagata.JPN/07.2009_0467	2009-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506760	HCoV_OC43/Yamagata.JPN/07.2009_0469	2009-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506761	HCoV_OC43/Yamagata.JPN/07.2009_0536	2009-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506820	HCoV_OC43/Yamagata.JPN/07.2013_0380	2013-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506833	HCoV_OC43/Yamagata.JPN/07.2014_0380	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506838	HCoV_OC43/Yamagata.JPN/07.2014_0446	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506899	HCoV_OC43/Yamagata.JPN/07.2015_0353	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506901	HCoV_OC43/Yamagata.JPN/07.2015_0361	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506902	HCoV_OC43/Yamagata.JPN/07.2015_0368	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506903	HCoV_OC43/Yamagata.JPN/07.2015_0369	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506904	HCoV_OC43/Yamagata.JPN/07.2015_0373	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506905	HCoV_OC43/Yamagata.JPN/07.2015_0416	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506906	HCoV_OC43/Yamagata.JPN/07.2015_0417	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506907	HCoV_OC43/Yamagata.JPN/07.2015_0418	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506908	HCoV_OC43/Yamagata.JPN/07.2015_0424	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506909	HCoV_OC43/Yamagata.JPN/07.2015_0425	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506921	HCoV_OC43/Yamagata.JPN/07.2017_0304	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506922	HCoV_OC43/Yamagata.JPN/07.2017_0305	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506923	HCoV_OC43/Yamagata.JPN/07.2017_0306	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506924	HCoV_OC43/Yamagata.JPN/07.2017_0314	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506925	HCoV_OC43/Yamagata.JPN/07.2017_0354	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506926	HCoV_OC43/Yamagata.JPN/07.2017_0361	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506927	HCoV_OC43/Yamagata.JPN/07.2017_0362	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506762	HCoV_OC43/Yamagata.JPN/08.2009_0554	2009-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506821	HCoV_OC43/Yamagata.JPN/08.2013_0498	2013-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506834	HCoV_OC43/Yamagata.JPN/08.2014_0432	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506835	HCoV_OC43/Yamagata.JPN/08.2014_0434	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506836	HCoV_OC43/Yamagata.JPN/08.2014_0435	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506837	HCoV_OC43/Yamagata.JPN/08.2014_0436	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506839	HCoV_OC43/Yamagata.JPN/08.2014_0484	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506840	HCoV_OC43/Yamagata.JPN/08.2014_0485	2014-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506910	HCoV_OC43/Yamagata.JPN/08.2015_0433	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506911	HCoV_OC43/Yamagata.JPN/08.2015_0434	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506912	HCoV_OC43/Yamagata.JPN/08.2015_0486	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506928	HCoV_OC43/Yamagata.JPN/08.2017_0364	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506929	HCoV_OC43/Yamagata.JPN/08.2017_0375	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506930	HCoV_OC43/Yamagata.JPN/08.2017_0379	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506763	HCoV_OC43/Yamagata.JPN/09.2009_0623	2009-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506790	HCoV_OC43/Yamagata.JPN/09.2011_0752	2011-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506807	HCoV_OC43/Yamagata.JPN/09.2012_0501	2012-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506913	HCoV_OC43/Yamagata.JPN/09.2015_0492	2015-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506931	HCoV_OC43/Yamagata.JPN/09.2017_0410	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506932	HCoV_OC43/Yamagata.JPN/09.2017_0411	2017-02-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506933	HCoV_OC43/Yamagata.JPN/09.2017_0478	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506934	HCoV_OC43/Yamagata.JPN/09.2017_0480	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506935	HCoV_OC43/Yamagata.JPN/09.2017_0482	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331076	HCoV_OC43/Yamagata.JPN/10.15_0600	2015-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506764	HCoV_OC43/Yamagata.JPN/10.2009_0762	2009-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506822	HCoV_OC43/Yamagata.JPN/10.2013_0627	2013-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506951	HCoV_OC43/Yamagata.JPN/10.2017_0491	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506936	HCoV_OC43/Yamagata.JPN/10.2017_0516	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331077	HCoV_OC43/Yamagata.JPN/11.15_0612	2015-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331078	HCoV_OC43/Yamagata.JPN/11.15_0615	2015-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331079	HCoV_OC43/Yamagata.JPN/11.16_0552	2016-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506765	HCoV_OC43/Yamagata.JPN/11.2009_0765	2009-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506766	HCoV_OC43/Yamagata.JPN/11.2009_0842	2009-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506823	HCoV_OC43/Yamagata.JPN/11.2013_0666	2013-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506914	HCoV_OC43/Yamagata.JPN/11.2015_0604	2015-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506937	HCoV_OC43/Yamagata.JPN/11.2017_0521	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506938	HCoV_OC43/Yamagata.JPN/11.2017_0634	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506939	HCoV_OC43/Yamagata.JPN/12.2017_0640	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506940	HCoV_OC43/Yamagata.JPN/12.2017_0642	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506941	HCoV_OC43/Yamagata.JPN/12.2017_0751	2017-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506791	HCoV_OC43/Yamagata.JPN/13.2011_0825	2011-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506792	HCoV_OC43/Yamagata.JPN/13.2011_0857	2011-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506808	HCoV_OC43/Yamagata.JPN/13.2012_0719	2012-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506915	HCoV_OC43/Yamagata.JPN/13.2015_0693	2015-03-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331080	HCoV_OC43/Yamagata.JPN/14.16_0684	2016-04-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506793	HCoV_OC43/Yamagata.JPN/14.2011_0874	2011-04-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506794	HCoV_OC43/Yamagata.JPN/14.2011_0897	2011-04-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506809	HCoV_OC43/Yamagata.JPN/14.2012_0781	2012-04-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506942	HCoV_OC43/Yamagata.JPN/14.2017_0959	2017-04-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506795	HCoV_OC43/Yamagata.JPN/16.2011_0969	2011-04-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506943	HCoV_OC43/Yamagata.JPN/16.2017_1199	2017-04-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506916	HCoV_OC43/Yamagata.JPN/19.2015_0902	2015-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331089	HCoV_OC43/Yamagata.JPN/20.16_0885	2016-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331081	HCoV_OC43/Yamagata.JPN/20.16_0914	2016-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506769	HCoV_OC43/Yamagata.JPN/20.2010_1337	2010-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506770	HCoV_OC43/Yamagata.JPN/20.2010_1341	2010-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506796	HCoV_OC43/Yamagata.JPN/20.2011_1168	2011-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506944	HCoV_OC43/Yamagata.JPN/20.2017_1370	2017-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506771	HCoV_OC43/Yamagata.JPN/21.2010_1394	2010-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506797	HCoV_OC43/Yamagata.JPN/21.2011_1174	2011-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506798	HCoV_OC43/Yamagata.JPN/21.2011_1236	2011-05-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331082	HCoV_OC43/Yamagata.JPN/22.16_0950	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506799	HCoV_OC43/Yamagata.JPN/22.2011_1255	2011-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331083	HCoV_OC43/Yamagata.JPN/23.16_0980	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331090	HCoV_OC43/Yamagata.JPN/24.16_1002	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331084	HCoV_OC43/Yamagata.JPN/24.16_1005	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331085	HCoV_OC43/Yamagata.JPN/24.16_1006	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331086	HCoV_OC43/Yamagata.JPN/24.16_1008	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331087	HCoV_OC43/Yamagata.JPN/24.16_1027	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331091	HCoV_OC43/Yamagata.JPN/25.16_1044	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331092	HCoV_OC43/Yamagata.JPN/26.16_1046	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331088	HCoV_OC43/Yamagata.JPN/26.16_1049	2016-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506945	HCoV_OC43/Yamagata.JPN/26.2017_1566	2017-06-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC331093	HCoV_OC43/Yamagata.JPN/27.16_1096	2016-07-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506800	HCoV_OC43/Yamagata.JPN/27.2011_1525	2011-07-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506772	HCoV_OC43/Yamagata.JPN/38.2010_2108	2010-09-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506773	HCoV_OC43/Yamagata.JPN/39.2010_2197	2010-10-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506774	HCoV_OC43/Yamagata.JPN/43.2010_2375	2010-10-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506775	HCoV_OC43/Yamagata.JPN/43.2010_2382	2010-10-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506776	HCoV_OC43/Yamagata.JPN/43.2010_2384	2010-10-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506777	HCoV_OC43/Yamagata.JPN/43.2010_2385	2010-10-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506778	HCoV_OC43/Yamagata.JPN/43.2010_2388	2010-10-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
LC506779	HCoV_OC43/Yamagata.JPN/43.2010_2412	2010-10-XX	Human	Japan	Betacoronavirus_1	oc43	beta	full
